"","186","295","321","337","464","469","502","506","563","931","961","962","1000","1071","1076","1078","1081","1139","1140","1144","1150","1153","1162","1197","1218","1231","1256","1259","1262","1276","1283","1284","1328","1329","1349","1365","1372","1381","1387","1401","1402","1414","1422","1524","1551","1553","1559","1561","1568"
"NSCLC_A549_1",171210.5829,1246686.524,527193.487,411155.8781,59929.70461,49255.07973,171273.1364,159183.1286,663694.9741,35070.49713,205990.1024,60422.99028,141932.6728,230707.3053,1581944.95,888762.255,291579.447,1160526.357,264096.4816,380866.3041,2010901.874,646161.3985,308624.572,174167.2646,358643.7988,168153.6134,1226676.022,432775.5161,1682597.289,616102.1974,90521.64522,87382.69724,71786.37972,1030923.429,66751.68549,587233.2752,209229.4453,1664931.401,624615.6967,95049.95991,1719464.149,645473.192,89954.00002,52983.82193,1672321.686,686730.5097,259889.4715,1563879.456,189971.5111
"NSCLC_H1703_2",204751.3591,1338013.461,571379.0841,486137.092,89261.66256,72052.72202,187464.2389,180000.614,443440.3745,89938.26439,245504.4646,66420.47144,153877.9564,0,1540255.324,692656.8931,219322.0773,1395022.667,0,459137.9028,1551694.853,516276.2156,405340.4733,138470.2654,16478.75072,47463.95084,1604223.193,576127.4046,1399125.584,508743.2592,65972.45613,45004.10471,82900.0102,70503.71698,108832.0636,988882.9688,384139.6428,2281045.486,860709.5233,131002.1274,829008.9569,293504.7109,42264.73772,97472.8842,1608166.705,940825.2406,363398.5823,304311.3998,35762.79339
"NSCLC_H1703_1",203558.4952,1040438.105,498460.6875,411052.8868,96002.36973,0,193894.4078,179518.9387,736672.9068,107041.3412,321302.7635,90237.59336,184414.1863,37288.30387,1638339.884,740586.5405,242345.6307,1344168.06,0,446126.7692,1437951.238,482798.776,389654.6384,140844.4513,0,0,1555350.658,555434.0826,1378829.209,497591.375,68732.01593,0,81852.91597,99080.45557,115238.7582,1002957.366,377677.6753,2026722.484,765475.8487,108827.848,854172.952,313811.6234,51125.12753,95633.56928,1931490.887,1086556.334,417606.081,436556.8065,53865.65208
"NSCLC_A549_2",245859.2006,1371135.588,153050.9373,495539.7034,81436.65785,85158.56741,0,186757.144,809830.2341,43565.82607,299820.7353,84747.2719,261578.5732,314648.7325,1730887.909,1144259.294,367650.9936,1442570.093,471708.4553,457375.6902,2272554.651,773292.3518,362162.4799,186372.7349,427800.1183,230110.1522,1359538.194,495468.0917,1821494.948,635561.3457,89888.93269,109262.9898,59017.672,1193013.512,93183.12778,608533.6011,221856.3239,1732423.877,649737.5435,106003.5982,2036999.677,762600.1361,116878.2991,58497.52991,2077164.367,846116.6842,328548.1739,1824856.678,243842.0526
"NSCLC_H1437_1",214448.178,1107105.986,524333.567,484994.8797,92368.82235,69868.5498,181168.8533,0,635990.2172,51087.42828,225084.583,55573.15687,149658.9117,178500.9988,1149976.279,1306577.709,422360.5027,1313340.287,108083.9781,426595.3301,2386937.6,802728.3053,345864.8827,118844.5115,383683.0215,74921.63366,1044867.464,377669.1186,1617663.099,568534.8039,84579.99092,58797.63165,41044.11243,806526.0946,0,242116.0697,81066.41693,1419139.504,531985.3086,83218.09256,1269265.883,459612.8875,64837.50435,0,943472.0371,402230.0367,153070.9443,374591.4737,44104.41364
"NSCLC_H2228_1",183191.6157,1174738.024,492585.8915,449578.4386,79716.72953,75515.06063,183437.4307,160558.7349,276662.4819,0,156993.444,47661.40057,90737.41356,134624.6313,1962268.398,177505.8543,61210.8724,275582.8537,145118.1634,90149.94352,1397163.917,463010.9798,306187.7022,122634.5523,224532.7457,244751.9761,961230.6243,335751.1361,1615823.141,582776.9029,76509.16145,57890.40962,78496.7078,887946.7959,50808.3387,364058.9286,129207.3489,1712049.824,637511.1714,95778.0245,2198628.726,822515.6724,111458.2223,71137.63905,651840.9349,324327.635,120577.9019,239850.4383,26049.74665
"NSCLC_H2228_2",175265.4691,1202536.587,534477.6418,411424.5102,78543.10781,73022.58488,188280.2568,166795.8967,279301.0355,0,177756.902,56684.10067,93190.85907,144833.3828,1978721.26,258731.2309,79067.14016,402672.168,249697.7462,116801.029,1435649.346,469439.0543,249398.5049,133101.905,266898.5121,234478.3424,917672.1196,323971.2926,1305062.953,477014.5509,63940.66034,54643.91235,85951.44791,1166722.717,69813.82988,370106.6324,133959.1459,1514598.629,552987.1619,80946.89867,2151175.34,801903.5808,111787.1274,73818.14014,983533.8015,410931.9278,158182.4198,480516.1821,81599.98032
"NSCLC_H1437_2",209841.9595,1227507.881,557683.282,439658.0081,85554.76639,53375.19676,180316.8659,162056.8933,480095.9724,39254.9881,176479.9671,35566.78688,133280.4,169943.1706,1109062.188,1361577.321,440517.984,1341152.168,122252.3998,421925.3291,2264753.838,769480.9346,365340.2576,0,444780.9174,72155.09256,984282.1263,350714.3873,1520010.939,529926.0027,76496.48792,63479.07457,40097.04311,959272.6258,51391.63267,226828.8746,82891.54192,1282982.668,488741.6452,74083.46712,1273900.229,474645.304,61945.54567,30605.31487,1056893.353,437782.2224,169338.1717,448340.7409,47908.89141
"NSCLC_H3122_1",193689.119,897012.2317,429777.7038,376694.1029,58148.61391,70389.01583,176004.3086,158849.0344,293541.8231,11293.18377,75601.49088,0,85941.99274,159037.8323,935734.0357,1572857.066,485781.2239,1313516.836,78008.10865,429657.9958,1853504.303,637659.3331,142501.3571,142558.2437,1503214.596,68056.76788,1011282.758,352198.6011,1242783.069,430968.1967,57893.83272,31885.95268,0,2101080.761,38385.39894,213506.7104,0,1049991.894,395307.462,60621.49012,762510.4073,274212.8825,0,11919.22697,999800.2055,335671.1381,125139.132,1894310.676,0
